"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
0,500,0,0,0,1,1
4,500,0,1,1,1,1
14,500,0,1,1,1,0
15,500,0,1,1,1,1
21,500,0,1,1,0,1
23,500,0,1,1,1,1
38,500,0,0,1,0,1
39,500,0,0,1,1,1
44,500,0,0,1,1,0
45,500,0,0,1,1,1
47,500,0,0,1,0,1
48,500,0,0,1,1,1
54,500,0,0,1,1,0
55,500,0,0,1,1,1
61,500,0,0,0,1,1
64,500,0,0,0,1,0
65,500,0,0,0,1,1
70,500,0,0,0,0,1
71,500,0,0,0,1,1
74,500,0,0,0,1,0
75,500,0,0,0,1,1
78,500,0,0,0,0,1
79,500,0,0,0,1,1
84,500,0,0,0,1,0
85,500,0,0,0,1,1
86,500,0,0,0,0,1
87,500,0,0,0,1,1
94,500,0,0,0,1,0
95,500,0,0,0,1,1
100,500,0,0,0,0,1
102,500,0,0,0,1,1
104,500,0,0,0,1,0
105,500,0,0,0,1,1
114,500,0,0,0,1,0
115,500,0,0,0,1,1
117,500,0,0,0,0,1
118,500,0,0,0,1,1
131,500,0,0,0,0,1
132,500,0,0,0,1,1
134,500,0,0,0,1,0
135,500,0,0,0,1,1
145,500,0,0,0,1,0
146,500,0,0,0,1,1
149,500,0,0,0,0,1
150,500,0,0,0,1,1
154,500,0,0,0,1,0
156,500,0,0,0,1,1
157,500,0,0,0,0,1
158,500,0,0,0,1,1
165,500,0,0,0,1,0
166,500,0,0,0,1,1
171,500,0,0,0,0,1
172,500,0,0,0,1,1
174,500,0,0,0,1,0
176,500,0,0,0,1,1
179,500,0,0,0,0,1
181,500,0,0,0,1,1
185,500,0,0,0,1,0
186,500,0,0,0,1,1
195,500,0,0,0,1,0
196,500,0,0,0,1,1
203,500,0,0,0,0,1
204,500,0,0,0,1,1
205,500,0,0,0,1,0
206,500,0,0,0,1,1
210,500,0,0,0,0,1
211,500,0,0,0,1,1
214,500,0,0,0,1,0
216,500,0,0,0,1,1
224,500,0,0,0,1,0
226,500,0,0,0,1,1
228,500,0,0,0,0,1
229,500,0,0,0,1,1
235,500,0,0,0,1,0
236,500,0,0,0,1,1
250,500,0,0,0,0,1
251,500,0,0,0,1,1
255,500,0,0,0,1,0
256,500,0,0,0,1,1
258,500,0,0,0,0,1
260,500,0,0,0,1,1
282,500,0,0,0,0,1
283,500,0,0,0,1,1
289,500,0,0,0,0,1
290,500,0,0,0,1,1
295,500,0,0,0,1,0
296,500,0,0,0,1,1
305,500,0,0,0,1,0
306,500,0,0,0,1,1
308,500,0,1,1,1,1
313,500,0,1,1,0,1
314,500,0,1,1,1,1
315,500,0,1,1,1,0
316,500,0,1,1,1,1
320,500,0,1,1,0,1
321,500,0,1,1,1,1
325,500,0,1,1,1,0
326,500,0,1,1,1,1
329,500,0,1,1,0,1
330,500,0,1,1,1,1
335,500,0,1,1,1,0
336,500,0,1,1,1,1
337,500,0,1,1,0,1
339,500,0,1,1,1,1
345,500,0,1,1,1,0
346,500,0,1,1,1,1
352,500,0,1,1,0,1
353,500,0,1,1,1,1
361,500,0,1,1,0,1
362,500,0,1,1,1,1
368,500,0,1,1,0,1
370,500,0,0,1,1,1
375,500,0,0,1,1,0
376,500,0,0,1,1,1
384,500,0,0,1,0,1
385,500,0,0,1,1,1
386,500,0,0,1,1,0
387,500,0,0,1,1,1
392,500,0,0,1,0,1
393,500,0,0,1,1,1
395,500,0,0,1,1,0
397,500,0,0,1,1,1
406,500,0,0,1,1,0
407,500,0,0,1,1,1
408,500,0,0,1,0,1
409,500,0,0,1,1,1
415,500,0,0,1,1,0
417,500,0,0,1,1,1
426,500,0,0,1,1,0
427,500,0,0,1,1,1
431,500,0,0,0,0,1
432,500,0,0,0,1,1
436,500,0,0,0,1,0
437,500,0,0,0,1,1
440,500,0,0,0,0,1
441,500,0,0,0,1,1
446,500,0,0,0,1,0
447,500,0,0,0,0,1
449,500,0,0,0,1,1
455,500,0,0,0,1,0
457,500,0,0,0,1,1
463,500,0,0,0,0,1
464,500,0,0,0,1,1
465,500,0,0,0,1,0
467,500,0,0,0,1,1
471,500,0,0,0,0,1
472,500,0,0,0,1,1
476,500,0,0,0,1,0
477,500,0,0,0,1,1
478,500,0,0,0,0,1
480,500,0,0,0,1,1
493,500,0,0,0,0,1
495,500,0,0,0,1,1
496,500,0,0,0,1,0
497,500,0,0,0,1,1
510,500,0,0,0,0,1
511,500,0,0,0,1,1
519,500,0,0,0,0,1
520,500,0,0,0,1,1
536,500,0,0,0,1,0
537,500,0,0,0,1,1
542,500,0,0,0,0,1
543,500,0,0,0,1,1
546,500,0,0,0,1,0
547,500,0,0,0,1,1
550,500,0,0,0,0,1
551,500,0,0,0,1,1
556,500,0,0,0,1,0
557,500,0,0,0,0,1
558,500,0,0,0,1,1
566,500,0,0,0,1,0
567,500,0,0,0,1,1
573,500,0,0,0,0,1
574,500,0,0,0,1,1
576,500,0,0,0,1,0
577,500,0,0,0,1,1
586,500,0,0,0,1,0
587,500,0,0,0,1,1
589,500,0,0,0,0,1
590,500,0,0,0,1,1
603,500,0,0,0,0,1
604,500,0,0,0,1,1
616,500,0,0,0,1,0
618,500,0,0,0,1,1
620,500,0,0,0,0,1
622,500,0,0,0,1,1
627,500,0,0,0,1,0
628,500,0,0,0,1,1
629,500,0,0,0,0,1
630,500,0,0,0,1,1
636,500,0,0,0,1,0
638,500,0,0,0,1,1
643,500,0,0,0,0,1
644,500,0,0,0,1,1
647,500,0,0,0,1,0
648,500,0,0,0,1,1
652,500,0,0,0,0,1
653,500,0,0,0,1,1
656,500,0,0,0,1,0
658,500,0,0,0,1,1
659,500,0,0,0,0,1
660,500,0,0,0,1,1
667,500,0,0,0,1,0
668,500,0,0,0,1,1
675,500,0,0,0,0,1
676,500,0,0,0,1,1
677,500,0,0,0,1,0
678,500,0,0,0,1,1
682,500,0,0,0,0,1
683,500,0,0,0,1,1
687,500,0,0,0,1,0
688,500,0,0,0,1,1
696,500,0,0,0,1,0
698,500,0,0,0,1,1
699,500,0,0,0,0,1
701,500,0,0,0,1,1
706,500,0,0,0,1,0
708,500,0,0,0,1,1
713,500,0,0,0,0,1
715,500,0,0,0,1,1
717,500,0,0,0,1,0
718,500,0,0,0,1,1
722,500,0,0,0,0,1
723,500,0,0,0,1,1
731,500,0,0,0,0,1
732,500,0,0,0,1,1
737,500,0,0,0,1,0
738,500,0,0,0,0,1
739,500,0,0,0,1,1
754,500,0,0,0,0,1
755,500,0,0,0,1,1
761,500,0,0,0,0,1
763,500,0,0,0,1,1
777,500,0,0,0,1,0
778,500,0,0,0,1,1
784,500,0,0,0,0,1
786,500,0,0,0,1,1
787,500,0,0,0,1,0
788,500,0,0,0,1,1
792,500,0,0,0,0,1
794,500,0,0,0,1,1
797,500,0,0,0,1,0
798,500,0,0,0,1,1
801,500,0,0,0,0,1
802,500,0,0,0,1,1
807,500,0,0,0,1,0
808,500,0,0,0,1,1
810,500,0,0,0,0,1
811,500,0,0,0,1,1
817,500,0,0,0,1,0
818,500,0,0,0,1,1
824,500,0,0,0,0,1
825,500,0,0,0,1,1
827,500,0,0,0,1,0
828,500,0,0,0,1,1
833,500,0,0,0,0,1
834,500,0,0,0,1,1
841,500,0,0,0,0,1
842,500,0,0,0,1,1
855,500,0,0,0,0,1
857,500,0,0,0,1,0
858,500,0,0,0,1,1
863,500,0,0,0,0,1
865,500,0,0,0,1,1
868,500,0,0,0,1,0
869,500,0,0,0,1,1
871,500,0,0,0,0,1
873,500,0,0,0,1,1
877,500,0,0,0,1,0
879,500,0,0,0,1,1
880,500,0,0,0,0,1
881,500,0,0,0,1,1
888,500,0,0,0,1,0
889,500,0,0,0,1,1
894,500,0,0,0,0,1
895,500,0,0,0,1,1
897,500,0,0,0,1,0
899,500,0,0,0,1,1
903,500,0,0,0,0,1
904,500,0,0,0,1,1
908,500,0,0,0,1,0
909,500,0,0,0,1,1
912,500,0,0,0,0,1
913,500,0,0,0,1,1
918,500,0,0,0,1,0
919,500,0,0,0,1,1
920,500,0,0,0,0,1
921,500,0,0,0,1,1
928,500,0,0,0,1,0
929,500,0,0,0,1,1
934,500,0,0,0,0,1
936,500,0,0,0,1,1
937,500,0,0,0,1,0
939,500,0,0,0,1,1
942,500,0,0,0,0,1
